ticker,exchange
MMM,NYSE
AOS,NYSE
ABT,NYSE
ABBV,NYSE
ACN,NYSE
ADBE,NASDAQ
AMD,NASDAQ
AES,NYSE
AFL,NYSE
A,NYSE
APD,NYSE
ABNB,NASDAQ
AKAM,NASDAQ
ALB,NYSE
ARE,NYSE
ALGN,NASDAQ
ALLE,NYSE
LNT,NASDAQ
ALL,NYSE
GOOGL,NASDAQ
GOOG,NASDAQ
MO,NYSE
AMZN,NASDAQ
AMCR,NYSE
AEE,NYSE
AEP,NASDAQ
AXP,NYSE
AIG,NYSE
AMT,NYSE
AWK,NYSE
AMP,NYSE
AME,NYSE
AMGN,NASDAQ
APH,NYSE
ADI,NASDAQ
AON,NYSE
APA,NASDAQ
APO,NYSE
AAPL,NASDAQ
AMAT,NASDAQ
APP,NASDAQ
APTV,NYSE
ACGL,NASDAQ
ADM,NYSE
ARES,NYSE
ANET,NYSE
AJG,NYSE
AIZ,NYSE
T,NYSE
ATO,NYSE
ADSK,NASDAQ
ADP,NASDAQ
AZO,NYSE
AVB,NYSE
AVY,NYSE
AXON,NASDAQ
BKR,NASDAQ
BALL,NYSE
BAC,NYSE
BAX,NYSE
BDX,NYSE
BRK-B,NYSE
BBY,NYSE
TECH,NASDAQ
BIIB,NASDAQ
BLK,NYSE
BX,NYSE
XYZ,NYSE
BK,NYSE
BA,NYSE
BKNG,NASDAQ
BSX,NYSE
BMY,NYSE
AVGO,NASDAQ
BR,NYSE
BRO,NYSE
BF-B,NYSE
BLDR,NYSE
BG,NYSE
BXP,NYSE
CHRW,NASDAQ
CDNS,NASDAQ
CPT,NYSE
CPB,NASDAQ
COF,NYSE
CAH,NYSE
CCL,NYSE
CARR,NYSE
CVNA,NYSE
CAT,NYSE
CBOE,NYSE
CBRE,NYSE
CDW,NASDAQ
COR,NYSE
CNC,NYSE
CNP,NYSE
CF,NYSE
CRL,NYSE
SCHW,NYSE
CHTR,NASDAQ
CVX,NYSE
CMG,NYSE
CB,NYSE
CHD,NYSE
CIEN,NYSE
CI,NYSE
CINF,NASDAQ
CTAS,NASDAQ
CSCO,NASDAQ
C,NYSE
CFG,NYSE
