0BOE,LSE
4BB,AIM
80M,AIM
88E,AIM
AAF,LSE
AAL,LSE
AAS,LSE
AAU,AIM
AAZ,AIM
ABDN,LSE
ABDP,AIM
ABDX,AIM
ABF,LSE
ACG,LSE
ACRM,AIM
ACSO,AIM
ADIG,LSE
ADM,LSE
ADME,AIM
ADVT,LSE
AEG,AIM
AEO,AIM
AEP,LSE
AET,AIM
AFC,AIM
AFP,LSE
AFRK,LSE
AFRN,AIM
AGY,AIM
AHT,LSE
AIEA,AIM
AIQ,LSE
AJB,LSE
ALBA,AIM
ALFA,LSE
ALK,LSE
ALL,AIM
ALNA,LSE
ALT,AIM
ALTN,LSE
ALTR,LSE
ALU,AIM
AMCO,AIM
AMG,LSE
AMGO,LSE
AMIF,LSE
AML,LSE
AMP,AIM
AMRQ,AIM
AMS,AIM
ANCR,AIM
ANG,AIM
ANGS,AIM
ANII,LSE
ANP,AIM
ANTO,LSE
AO.,LSE
AOM,AIM
AOTI,AIM
APN,LSE
APTA,AIM
APTD,LSE
ARA,LSE
ARBB,AIM
ARC,AIM
ARCM,AIM
AREC,AIM
ARS,AIM
ARV,AIM
ASAI,LSE
ASBE,LSE
ASC,LSE
ASHI,LSE
ASHM,LSE
ASIA,LSE
AST,AIM
ASY,AIM
AT.,LSE
ATC,AIM
ATG,LSE
ATM,AIM
ATN,LSE
ATOM,AIM
ATS,LSE
ATYM,LSE
AURA,AIM
AURR,AIM
AUTG,AIM
AUTO,LSE
AV.,LSE
AVAP,LSE
AVCT,AIM
AVG,AIM
AVON,LSE
AXL,AIM
AXS,AIM
AYM,AIM
AZN,LSE
BA.,LSE
BAB,LSE
BAG,LSE
BAKK,LSE
BARC,LSE
BATS,LSE
BBSN,AIM
BBY,LSE
BCG,LSE
BEG,AIM
BEM,AIM
BEZ,LSE
BGEU,LSE
BGO,AIM
BGS,LSE
BHP,LSE
BIG,AIM
BIH,LSE
BILN,AIM
BIRD,AIM
BKG,LSE
BKS,AIM
BKY,LSE
BLOE,AIM
BLU,AIM
BME,LSE
BMS,LSE
BMV,LSE
BMY,LSE
BNZL,LSE
BOKU,AIM
BOOT,LSE
BOR,AIM
BOW,AIM
BOWL,LSE
BOY,LSE
BP.,LSE
BPM,AIM
BPT,LSE
BRBY,LSE
BRCK,AIM
BREE,LSE
BRES,LSE
BRK,LSE
BRLA,LSE
BRS,LSE
BSFA,LSE
BT.A,LSE
BTRW,LSE
BUC,AIM
BUCE,AIM
BUT,LSE
BVC,LSE
BVXP,AIM
BWY,LSE
BYIT,LSE
BZT,AIM
CABP,LSE
CAD,LSE
CAL,LSE
CAM,AIM
CAN,LSE
CAR,LSE
CARD,LSE
CASP,AIM
CAV,AIM
CBOX,AIM
CCL,LSE
CCP,AIM
CDFF,LSE
CFYN,LSE
CGS,LSE
CGT,LSE
CHP,AIM
CLBX,AIM
CLX,AIM
CMCX,LSE
CMET,AIM
CMX,AIM
CNE,LSE
CNSL,AIM
COG,AIM
CPAI,LSE
CPI,LSE
CPX,AIM
CREI,LSE
CSH,LSE
DFS,LSE
DIG,LSE
DPEU,LSE
EAT,LSE
EBOX,LSE
ESP,LSE
EWI,LSE
FAN,LSE
FCH,LSE
FJV,LSE
FORT,LSE
FOUR,LSE
GDWN,LSE
GLE,LSE
GYM,LSE
HEFT,LSE
HNE,LSE
HSW,LSE
HWG,LSE
IAT,LSE
IBT,LSE
III,LSE
JCGI,LSE
JCH,LSE
JMF,LSE
JTC,LSE
KDNC,AIM
KMR,LSE
LUCE,LSE
LWI,LSE
MACF,LSE
MAJE,LSE
MCB,LSE
MCLS,LSE
MGP,LSE
MNP,LSE
MOTR,LSE
MRCH,LSE
MTE,LSE
MUT,LSE
MWE,AIM
NAS,LSE
NXR,LSE
OXB,LSE
PSDL,LSE
REE,LSE
REL,LSE
RGG,LSE
RGL,LSE
RKT,LSE
RMR,AIM
ROCK,AIM
ROR,LSE
RR.,LSE
RS1,LSE
SBRE,LSE
SCP,LSE
SCT,LSE
SEI,AIM
SKA,AIM
SPA,AIM
SUS,LSE
SWG,AIM
TEG,LSE
TET,LSE
THRL,LSE
TIGT,LSE
UEM,LSE
UFO,AIM
WKS,AIM
ZAIM,LSE
